participant_id	species	sex	strain
sub-F120	Mus musculus	F	C57BL6/jrj
sub-F134	Mus musculus	F	C57BL6/jrj
sub-F136	Mus musculus	F	C57BL6/jrj
sub-FB2311	Mus musculus	F	C57BL6/jrj
sub-FB2312	Mus musculus	M	C57BL6/jrj
sub-FB2314	Mus musculus	M	C57BL6/jrj
sub-FB2315	Mus musculus	M	C57BL6/jrj
sub-FB2316	Mus musculus	F	C57BL6/jrj
sub-FB2317	Mus musculus	F	C57BL6/jrj
sub-FB2318	Mus musculus	F	C57BL6/jrj
sub-FB2319	Mus musculus	F	C57BL6/jrj
sub-FB2320	Mus musculus	F	C57BL6/jrj
sub-FB2328	Mus musculus	F	C57BL6/jrj
sub-FB2352	Mus musculus	F	C57BL6/jrj
sub-FB2353	Mus musculus	F	C57BL6/jrj
sub-FB2354	Mus musculus	F	C57BL6/jrj
sub-FB2355	Mus musculus	F	C57BL6/jrj
sub-FB2356	Mus musculus	F	C57BL6/jrj
sub-FB2357	Mus musculus	F	C57BL6/jrj
sub-FB2358	Mus musculus	F	C57BL6/jrj
sub-FB2359	Mus musculus	F	C57BL6/jrj
sub-FB2360	Mus musculus	F	C57BL6/jrj
sub-FB2361	Mus musculus	M	C57BL6/jrj
sub-FB2362	Mus musculus	M	C57BL6/jrj
sub-FB2364	Mus musculus	F	C57BL6/jrj
sub-FB237	Mus musculus	F	C57BL6/jrj
sub-FB238	Mus musculus	F	C57BL6/jrj
sub-FB239	Mus musculus	F	C57BL6/jrj
sub-FB2411	Mus musculus	F	C57BL6/jrj
sub-ID01_Geriatric	Mus musculus	F	C57BL6/jrj
sub-ID02_Geriatric	Mus musculus	F	C57BL6/jrj
sub-ID03_Geriatric	Mus musculus	F	C57BL6/jrj
sub-ID13	Mus musculus	F	C57BL6/jrj
sub-ID14	Mus musculus	M	C57BL6/jrj
sub-ID18	Mus musculus	M	C57BL6/jrj
sub-ID20	Mus musculus	F	C57BL6/jrj
sub-ID23	Mus musculus	F	C57BL6/jrj
sub-ID25	Mus musculus	M	C57BL6/jrj
sub-ID26	Mus musculus	M	C57BL6/jrj
sub-ID400	Mus musculus	F	C57BL6/jrj
sub-ID401	Mus musculus	F	C57BL6/jrj
sub-ID402	Mus musculus	F	C57BL6/jrj
sub-ID403	Mus musculus	F	C57BL6/jrj
sub-M189	Mus musculus	M	C57BL6/jrj
sub-M441	Mus musculus	F	C57BL6/jrj
sub-M442	Mus musculus	F	C57BL6/jrj
sub-M443	Mus musculus	F	C57BL6/jrj
sub-M444	Mus musculus	F	C57BL6/jrj
sub-leica191115_A1	Mus musculus	F	C57BL6/jrj
sub-leica191118_A2	Mus musculus	F	C57BL6/jrj
sub-nm190819	Mus musculus	F	C57BL6/jrj
sub-nm190823	Mus musculus	F	C57BL6/jrj
sub-nm190906	Mus musculus	M	C57BL6/jrj
sub-nm190910	Mus musculus	M	C57BL6/jrj
sub-nm190911_A1	Mus musculus	F	C57BL6/jrj
sub-nm190912_A1	Mus musculus	M	C57BL6/jrj
sub-nm200109_A3	Mus musculus	F	C57BL6/jrj
sub-nm200113_A1	Mus musculus	F	C57BL6/jrj
sub-nm200330_A2	Mus musculus	F	C57BL6/jrj
sub-nm200416_A1	Mus musculus	M	C57BL6/jrj
sub-nm200417_A2	Mus musculus	M	C57BL6/jrj
sub-nm200420_A1	Mus musculus	F	C57BL6/jrj
sub-nm200423_A2	Mus musculus	M	C57BL6/jrj
